№,SKU,Име,Категория,Модел,Състав,Цвят,Цена за търговци на едро извън сезон БЕЗ ДДС,Цена за търговци на едро БЕЗ ДДС,Цена за онлайн магазин - намаление извън сезон (40%),Цена краен потребител,Цена с 25 % отстъпка промоции в сезон
1,G04114-4,Briana ,Дамски топ,G04114-4 Дамски топ Briana,100% вискоза,цикламен принт,24.00,35.00,47.00,79.00,59.00
2,G04114-5,Briana ,Дамски топ,G04114-5 Дамски топ Briana,100% вискоза,оранжев принт,24.00,35.00,47.00,79.00,59.00
3,G04114-6,Briana ,Дамски топ,G04114-6 Дамски топ Briana,100% вискоза,лилав принт,24.00,35.00,47.00,79.00,59.00
4,G04107-1,Minerva,Дамскa блуза,G04107-1 Дамскa блуза Minerva,100% полиестер,принт сатен син,30.00,42.00,59.00,99.00,74.00
5,260209001,Vikki ,Дамски панталон,260209001 Дамски панталон Vikki,100% Полиестер,син сатен,24.00,39.00,47.00,79.00,59.00
6,G04107-2,Minerva,Дамскa блуза,G04107-2 Дамскa блуза Minerva,100% полиестер,принт сатен зелен,30.00,42.00,59.00,99.00,74.00
7,260209002,Vikki ,Дамски панталон,260209002 Дамски панталон Vikki,100% Полиестер,зелен сатен,24.00,39.00,47.00,79.00,59.00
8,G04107-3,Minerva,Дамскa блуза,G04107-3 Дамскa блуза Minerva,"86 %Терилен/Aцетат, 14% Полиестер",принт сатен ментово зелен,30.00,42.00,59.00,99.00,74.00
9,260209003,Vikki ,Дамски панталон,260209003 Дамски панталон Vikki,"Състав:86 %Терилен/Aцетат, 14% Полиестер",мента,24.00,39.00,47.00,79.00,59.00
10,G04107-4,Minerva,Дамскa блуза,G04107-4 Дамскa блуза Minerva,100% вискоза,бледожълт принт,33.00,42.00,65.00,109.00,82.00
11,G01104-1,,Дамски панталон,G01104-1 Дамски панталон,100% вискоза,бледожълт принт,39.00,45.00,77.00,129.00,97.00
12,G04107-5,Minerva,Дамскa блуза,G04107-5 Дамскa блуза Minerva,100% вискоза,цикламен принт,33.00,42.00,65.00,109.00,82.00
13,G01104-2,,Дамски панталон,G01104-2 Дамски панталон,100% вискоза,цикламен принт,39.00,45.00,77.00,129.00,97.00
14,G04107-6,Minerva,Дамскa блуза,G04107-6 Дамскa блуза Minerva,100% вискоза,оранжев принт,33.00,42.00,65.00,109.00,82.00
15,G01104-3,,Дамски панталон,G01104-3 Дамски панталон,100% вискоза,оранжев принт,39.00,45.00,77.00,129.00,97.00
16,G04107-7,Minerva,Дамскa блуза,G04107-7 Дамскa блуза Minerva,100% вискоза,лилав принт,33.00,42.00,65.00,109.00,82.00
17,G01104-4,,Дамски панталон,G01104-4 Дамски панталон,100% вискоза,лилав принт,39.00,45.00,77.00,129.00,97.00
18,G04107-8,Minerva,Дамскa блуза,G04107-8 Дамскa блуза Minerva,100% вискоза,геометричен принт,33.00,42.00,65.00,109.00,82.00
19,G01104-5,,Дамски панталон,G01104-5 Дамски панталон,100% вискоза,геометричен принт,39.00,44.00,77.00,129.00,97.00
20,260208008,CALIFORNIA,Дамски панталон,260208008 Дамски панталон CALIFORNIA,"80% Вискоза, 18% Полиестер, 2% Еластант, Хастар: 96% Полиестер, 4% Еластант",оранжев ,39.00,44.00,77.00,129.00,97.00
21,G04107-9,Minerva,Дамскa блуза,G04107-9 Дамскa блуза Minerva,"86 %Терилен/Aцетат, 14% Полиестер",Горчица,33.00,42.00,65.00,109.00,82.00
22,260208007,CALIFORNIA,Дамски панталон,260208007 Дамски панталон CALIFORNIA,"86 %Терилен/Aцетат, 14% Полиестер, Хастар: 96% Полиестер, 4% Еластант",Горчица,39.00,44.00,77.00,129.00,97.00
23,G04107-10,Minerva,Дамскa блуза,G04107-10 Дамскa блуза Minerva,100% Полиестер,Цвят:розово злато ,33.00,42.00,65.00,109.00,82.00
24,260208009,CALIFORNIA,Дамски панталон,260208009 Дамски панталон CALIFORNIA,100% Полиестер,Цвят:розово злато ,39.00,44.00,77.00,129.00,97.00
25,G0355, ,Дамскa блуза,G0355 Дамскa блуза,100% вискоза,бледожълт принт,33.00,42.00,65.00,109.00,82.00
26,250302002,IRIS,Дамска блуза ,250302002 Дамска блуза  IRIS,100% вискоза,Черен принт,30.00,39.00,59.00,99.00,74.00
27,250402001,FIREWORKS,Дамска блуза ,250402001 Дамска блуза  FIREWORKS,100% Полиестер,Бордо,30.00,39.00,59.00,99.00,74.00
28,G04125,SHENI ,Дамска блуза ,G04125  Дамска блуза  SHENI,Състав:100% Вискоза,Многоцветна,27.00,33.00,53.00,89.00,67.00
29,260103003-1, STRIPED CRUSH,Дамска риза,260103003-1 Дамска риза  STRIPED CRUSH,100% Памук,Червено райе,30.00,39.00,59.00,99.00,74.00
29,260103003-3, STRIPED CRUSH,Дамска риза,260103003-3 Дамска риза  STRIPED CRUSH,100% Памук,Зелен принт,30.00,39.00,59.00,99.00,74.00
29,G70150-8,FEAT ,Дамски пуловер  ,G70150-8 Дамски пуловер   FEAT,"90% памук,10% кашмир",Цвят:циклама,33.00,35.00,65.00,109.00,82.00
30,G70150-10,FEAT ,Дамски пуловер  ,G70150-10 Дамски пуловер   FEAT,"90% памук,10% кашмир",оранжево ,33.00,35.00,65.00,109.00,82.00
31,G70150-9,FEAT ,Дамски пуловер  ,G70150-9 Дамски пуловер   FEAT,"90% памук,10% кашмир",жълт ,33.00,35.00,65.00,109.00,82.00
32,260221001,PACIFIC,Дамско сако,260221001 Дамско сако PACIFIC,"100% Полиамид, Хастар: 100% Полиестер",Мерло,51.00,72.00,101.00,169.00,127.00
33,260208001,CALIFORNIA,Дамски панталон,260208001 Дамски панталон CALIFORNIA,"100% Полиамид, Хастар: 100% Полиестер",Мерло,33.00,44.00,65.00,109.00,82.00
34,260221004,PACIFIC,Дамско сако,260221004 Дамско сако PACIFIC,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Розов ,51.00,72.00,101.00,169.00,127.00
35,260208004,CALIFORNIA,Дамски панталон,260208004 Дамски панталон CALIFORNIA,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Розов,33.00,44.00,65.00,109.00,82.00
36,260221003,PACIFIC,Дамско сако,260221003 Дамско сако PACIFIC,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Бледо розово ,51.00,72.00,101.00,169.00,127.00
37,260208003,CALIFORNIA,Дамски панталон,260208003 Дамски панталон CALIFORNIA,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Бледо розово ,33.00,44.00,65.00,109.00,82.00
38,260221006,PACIFIC,Дамско сако,260221006 Дамско сако PACIFIC,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Графит,51.00,72.00,101.00,169.00,127.00
39,260208006,CALIFORNIA,Дамски панталон,260208006 Дамски панталон CALIFORNIA,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Графит,33.00,44.00,65.00,109.00,82.00
40,260221005,PACIFIC,Дамско сако,260221005 Дамско сако PACIFIC,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Бледо синьо,51.00,72.00,101.00,169.00,127.00
41,260208005,CALIFORNIA,Дамски панталон,260208005 Дамски панталон CALIFORNIA,"100% Полиамид, Хастар: 96% Полиестер, 4% Еластант",Бледо синьо,33.00,44.00,65.00,109.00,82.00
42,260221002,PACIFIC,Дамско сако,260221002 Дамско сако PACIFIC,"100% Полиамид, Хастар: 100% Полиестер",Зелен,51.00,72.00,101.00,169.00,127.00
43,260208002,CALIFORNIA,Дамски панталон,260208002 Дамски панталон CALIFORNIA,"100% Полиамид, Хастар: 100% Полиестер",Зелен,33.00,44.00,65.00,109.00,82.00
44,260121001,EMERALD,Дамско сако,260121001 Дамско сако EMERALD,,Бордо,51.00,72.00,101.00,169.00,127.00
45,260108001,RUBINA,Дамски панталон,260108001 Дамски панталон RUBINA,,Бордо,33.00,44.00,65.00,109.00,82.00
46,250321001,JANIS,Дамско сако,250321001 Дамско сако JANIS,"97 % Полиестер, 3 % Еластант, Хастар: 100% Полиестер",т. синьо райе,51.00,72.00,101.00,169.00,127.00
47,250308001,TAMARA,Дамски панталон,250308001 Дамски панталон TAMARA,"97 % Полиестер, 3 % Еластант, Хастар: 100% Полиестер",т. синьо райе,36.00,44.00,71.00,119.00,89.00
48,250308002,TAMARA,Дамски панталон,250308002 Дамски панталон TAMARA,"97 % Полиестер, 3 % Еластант, Хастар: 98% Полиестер, 2% Еластант",екрю райе,36.00,44.00,71.00,119.00,89.00
49,250318001,NETTA,Дамски елек,250318001 Дамски елек NETTA,"97 % Полиестер, 3 % Еластант, Хастар: 100% Полиестер",т. синьо райе,36.00,44.00,71.00,119.00,89.00
50,250318002,NETTA,Дамски елек,250318002 Дамски елек NETTA,"97 % Полиестер, 3 % Еластант, Хастар: 98% Полиестер, 2% Еластант",екрю райе,36.00,44.00,71.00,119.00,89.00
51,250311003,NOEMIE,Дамска рокля,250311003 Дамска рокля NOEMIE,"97 % Полиестер, 3 % Еластант, Хастар: 98% Полиестер, 2% Еластант",т. синьо райе,48.00,67.00,95.00,159.00,119.00
52,250311004,NOEMIE,Дамска рокля,250311004 Дамска рокля NOEMIE,"97 % Полиестер, 3 % Еластант, Хастар: 98% Полиестер, 2% Еластант",екрю райе,48.00,67.00,95.00,159.00,119.00
53,260211001,NATALIA,Дамска рокля,260211001 Дамска рокля NATALIA,"Състав:86 %Терилен/Aцетат, 14% Полиестер",мента,48.00,69.00,95.00,159.00,119.00
54,G05187-2,OGONIA,Дамска рокля,G05187-2 Дамска рокля OGONIA,,Зелен принт,45.00,65.00,89.00,149.00,112.00
55,G05219-2,SERAFINA,Дамска рокля,G05219-2 Дамска рокля SERAFINA,"100% Вискоза, Хастар: 100% Памук",Абстрактен принт,48.00,67.00,95.00,159.00,119.00
56,G05219-4,SERAFINA,Дамска рокля,G05219-4 Дамска рокля SERAFINA,"100% Памук, Хастар: 100% Вискоза",Принт цветя,48.00,67.00,95.00,159.00,119.00
57,G05219-1,SERAFINA,Дамска рокля,G05219-1 Дамска рокля SERAFINA,"100% Памук, Хастар: 100% Памук",змийски принт,48.00,67.00,95.00,159.00,119.00
58,G05219-3,SERAFINA,Дамска рокля,G05219-3 Дамска рокля SERAFINA,"100% Памук, Хастар: 100% Памук",Екрю на сини чертички,48.00,67.00,95.00,159.00,119.00
59,250111001,VIVIEN,Дамска рокля,250111001 Дамска рокля VIVIEN,"50 % Памук, 40 % Вискоза, 8% Полиестер, 2 % Еластант, Хастар: 97% Полиестер, 3% Еластант",розово каре,48.00,69.00,95.00,159.00,119.00
60,250111002,VIVIEN,Дамска рокля,250111002 Дамска рокля VIVIEN,"50 % Памук,  35% Полиамид, 15% Вълна, Хастар: 97% Полиестер, 3% Еластант",син меланж,48.00,69.00,95.00,159.00,119.00
61,250111003,VIVIEN,Дамска рокля,250111003 Дамска рокля VIVIEN,"85 % Памук,  15% Полиамид, Хастар: 98% Полиестер, 2% Еластант","жълто булке, черга",48.00,69.00,95.00,159.00,119.00
61,G05166,FAITH,Дамска рокля,G05166 Дамска рокля FAITH,100% Памук,Бял принт,48.00,69.00,95.00,159.00,119.00
62,G05164,ESMEE,Дамска рокля,G05164 Дамска рокля ESMEE,"100% Лен, 100% Памук",Принт цветя,45.00,63.00,89.00,149.00,112.00
62,260112002,DIODORE,Дамско яке,260112002 Дамско яке DIODORE,100%  Полиестер,Тъмносин,45.00,63.00,89.00,149.00,112.00
63,260112003,DIODORE,Дамско яке,260112003 Дамско яке DIODORE,"100%  Полиестер, Хастар 100% Памук",Бежов,45.00,63.00,89.00,149.00,112.00